,DataID,Gender,Race,Age,Father's Birthplace,Occupation,Can Read,Can Write,Attended School,continent,industry
461,4449800_00156,Male,White,48.0,Newfoundland,Laborer,Yes,Yes,,NorthAmerica,workers
464,4449800_00156,Male,White,18.0,Newfoundland,Driver,Yes,Yes,No,NorthAmerica,servant
817,4449800_00178,Male,White,22.0,Montana,Driver,Yes,Yes,,NorthAmerica,servant
1950,4449800_00145,Male,White,16.0,Brazil,Driver,Yes,Yes,No,SouthAmerica,servant
3660,4449800_00223,Male,Chinese,54.0,China,Proprietor,Yes,Yes,No,Aisa,Proprietor
6418,4449800_00016,Female,White,24.0,Barbados,Servant,Yes,Yes,,SouthAmerica,servant
6773,4449800_00032,Male,White,24.0,Japan,Servant,Yes,Yes,No,Aisa,servant
6867,4449800_00031,Male,Japanese,35.0,Japan,Cook,No,No,,Aisa,workers
9115,4449800_00073,Male,White,25.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant
9574,4449800_00082,Male,White,21.0,Canada,Porter,Yes,Yes,No,NorthAmerica,servant
9898,4449800_00252,Male,Black,21.0,West Indies,Waiter,Yes,Yes,No,SouthAmerica,servant
11065,4449800_00279,Male,Chinese,30.0,China,Helper,Yes,Yes,No,Aisa,Helper
11130,4449800_00282,Male,Chinese,28.0,China,Helper,Yes,Yes,No,Aisa,Helper
12143,4449800_00261,Male,White,26.0,Canada,Cook,Yes,Yes,,NorthAmerica,workers
12160,4449800_00261,Male,White,26.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant
12275,4449800_00274,Male,White,26.0,Canada,Packer,Yes,Yes,No,NorthAmerica,workers
15827,31776_4449715-00269,Male,White,64.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers
15953,31776_4449715-00264,Male,White,24.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
15954,31776_4449715-00264,Male,White,23.0,Canada,Housework,Yes,Yes,,NorthAmerica,servant
16536,31776_4449715-00248,Male,White,35.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant
17018,31776_4449715-00308,Male,Japanese,63.0,Japan,Cook,No,No,,Aisa,workers
17023,31776_4449715-00308,Male,Japanese,34.0,Japan,Cook,No,No,,Aisa,workers
18405,31776_4449715-00460,Male,Japanese,24.0,Japan,Cook,No,No,,Aisa,workers
19463,31776_4449715-00304,Male,Chinese,49.0,China,Cook,Yes,Yes,,Aisa,workers
19465,31776_4449715-00304,Female,Chinese,50.0,China,Cook,Yes,Yes,,Aisa,workers
19484,31776_4449715-00302,Male,White,38.0,Japan,Cook,Yes,Yes,,Aisa,workers
19590,31776_4449715-00477,Male,White,35.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant
19622,31776_4449715-00300,Male,Chinese,27.0,China,Cook,Yes,Yes,,Aisa,workers
19806,31776_4449715-00454,Male,Japanese,58.0,Japan,Cook,Yes,Yes,,Aisa,workers
20205,31776_4449715-00465,Male,Japanese,24.0,Japan,Servant,No,No,,Aisa,servant
20206,31776_4449715-00465,Male,Japanese,32.0,Japan,Servant,No,No,,Aisa,servant
20207,31776_4449715-00465,Male,Japanese,23.0,Japan,Servant,No,No,,Aisa,servant
20208,31776_4449715-00465,Male,Japanese,34.0,Japan,Servant,No,No,,Aisa,servant
20214,31776_4449715-00464,Male,Chinese,51.0,China,Cook,No,No,,Aisa,workers
20216,31776_4449715-00464,Male,Chinese,31.0,China,Cook,No,No,,Aisa,workers
20217,31776_4449715-00464,Male,Chinese,39.0,China,Cook,No,No,,Aisa,workers
24522,31776_4449715-00074,Male,White,18.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers
24524,31776_4449715-00074,Male,White,23.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant
25429,31776_4449715-00097,Male,White,21.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers
25800,31776_4449715-00108,Male,White,56.0,Cuba,Cigar Maker,Yes,Yes,,SouthAmerica,Proprietor
26016,31776_4449715-00102,Male,White,38.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers
26357,31776_4449715-00032,Male,White,24.0,Canada,Carpenter,Yes,Yes,No,NorthAmerica,Proprietor
27584,31776_4449715-00050,Male,White,42.0,Cuba,Cigar Maker,No,No,,SouthAmerica,Proprietor
28229,31776_4449715-00034,Male,White,32.0,Canada,Laborer,Yes,Yes,No,NorthAmerica,workers
28236,31776_4449715-00034,Male,White,29.0,Canada,Clerk,Yes,Yes,No,NorthAmerica,paperworker
28505,31776_4449715-00049,Male,White,51.0,Cuba,Cigar Maker,Yes,Yes,,SouthAmerica,Proprietor
28510,31776_4449715-00049,Male,White,21.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant
28866,31776_4449715-00197,Male,White,37.0,South America,Cook,Yes,Yes,,South America,workers
35184,4449800_00376,Male,White,32.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant
35426,4449800_00371,Male,Chinese,43.0,China,Laborer,No,No,,Aisa,workers
35427,4449800_00371,Male,Yellow,51.0,China,Proprietor,No,No,,Aisa,Proprietor
35765,4449800_00409,Male,White,23.0,Mexico,Driver,Yes,Yes,,SouthAmerica,servant
38061,4449800_00312,Female,Mulatto,19.0,Canada,Housework,Yes,Yes,No,NorthAmerica,servant
38063,4449800_00312,Male,Mulatto,54.0,Canada,Porter,Yes,Yes,,NorthAmerica,servant
39406,4449800_00343,Male,White,53.0,Canada,Porter,Yes,Yes,,NorthAmerica,servant
42454,31776_4449715-00672,Male,White,38.0,Canada,Painter,Yes,Yes,,NorthAmerica,artist
42478,31776_4449715-00679,Male,Chinese,40.0,China,Salesman,Yes,Yes,,Aisa,servant
42479,31776_4449715-00679,Male,Chinese,41.0,China,Salesman,Yes,Yes,,Aisa,servant
42480,31776_4449715-00679,Male,Chinese,47.0,China,Salesman,Yes,Yes,,Aisa,servant
42481,31776_4449715-00679,Male,Chinese,48.0,China,Salesman,Yes,Yes,,Aisa,servant
42515,31776_4449715-00681,Male,Chinese,22.0,China,Salesman,Yes,Yes,,Aisa,servant
42518,31776_4449715-00680,Male,Chinese,41.0,China,Salesman,Yes,Yes,,Aisa,servant
42519,31776_4449715-00680,Male,Chinese,39.0,China,Salesman,Yes,Yes,,Aisa,servant
42521,31776_4449715-00680,Male,Chinese,27.0,China,Salesman,Yes,Yes,,Aisa,servant
42522,31776_4449715-00680,Male,Chinese,24.0,China,Salesman,Yes,Yes,,Aisa,servant
42523,31776_4449715-00680,Male,Chinese,44.0,China,Servant,Yes,Yes,,Aisa,servant
42524,31776_4449715-00680,Male,Chinese,20.0,China,Servant,Yes,Yes,,Aisa,servant
42525,31776_4449715-00680,Male,Chinese,29.0,China,Servant,Yes,Yes,,Aisa,servant
42526,31776_4449715-00680,Male,Chinese,45.0,China,Salesman,Yes,Yes,,Aisa,servant
42527,31776_4449715-00680,Male,Chinese,27.0,China,Servant,Yes,Yes,,Aisa,servant
42528,31776_4449715-00680,Male,Chinese,40.0,China,Servant,Yes,Yes,,Aisa,servant
42529,31776_4449715-00680,Male,Chinese,36.0,China,Salesman,Yes,Yes,,Aisa,servant
42530,31776_4449715-00680,Male,Chinese,27.0,China,Laborer,Yes,Yes,,Aisa,workers
42531,31776_4449715-00680,Male,Chinese,48.0,China,Salesman,Yes,Yes,,Aisa,servant
42532,31776_4449715-00681,Male,Chinese,24.0,China,Servant,Yes,Yes,,Aisa,servant
42534,31776_4449715-00679,Male,Chinese,42.0,China,Cigar Maker,Yes,Yes,,Aisa,Proprietor
42535,31776_4449715-00679,Male,Chinese,48.0,China,Cigar Maker,Yes,Yes,,Aisa,Proprietor
42536,31776_4449715-00679,Male,Chinese,63.0,China,Cigar Maker,Yes,Yes,,Aisa,Proprietor
42537,31776_4449715-00679,Male,Chinese,32.0,China,Salesman,Yes,Yes,,Aisa,servant
42593,31776_4449715-00679,Male,Chinese,45.0,China,Salesman,Yes,Yes,,Aisa,servant
42594,31776_4449715-00679,Male,Chinese,30.0,China,Salesman,Yes,Yes,,Aisa,servant
42596,31776_4449715-00679,Male,Chinese,38.0,China,Laborer,Yes,Yes,,Aisa,workers
42597,31776_4449715-00679,Male,Chinese,34.0,China,Salesman,Yes,Yes,,Aisa,servant
42600,31776_4449715-00679,Male,Chinese,38.0,China,Salesman,Yes,Yes,,Aisa,servant
42601,31776_4449715-00679,Male,Chinese,47.0,China,Salesman,Yes,Yes,,Aisa,servant
42602,31776_4449715-00679,Male,Chinese,51.0,China,Servant,Yes,Yes,,Aisa,servant
42610,31776_4449715-00679,Male,Chinese,37.0,China,Servant,Yes,Yes,,Aisa,servant
42611,31776_4449715-00679,Male,Chinese,47.0,China,Servant,Yes,Yes,,Aisa,servant
42612,31776_4449715-00679,Male,Chinese,21.0,China,Servant,Yes,Yes,,Aisa,servant
42613,31776_4449715-00679,Male,Chinese,27.0,China,Servant,Yes,Yes,,Aisa,servant
42614,31776_4449715-00679,Male,Chinese,51.0,China,Servant,Yes,Yes,,Aisa,servant
42615,31776_4449715-00679,Male,Chinese,49.0,China,Servant,Yes,Yes,,Aisa,servant
42690,31776_4449715-00666,Male,Chinese,57.0,China,Salesman,Yes,Yes,,Aisa,servant
42701,31776_4449715-00664,Male,Chinese,29.0,China,Salesman,Yes,Yes,,Aisa,servant
42708,31776_4449715-00664,Male,Chinese,33.0,China,Salesman,Yes,Yes,,Aisa,servant
42709,31776_4449715-00664,Male,Chinese,46.0,China,Porter,Yes,Yes,,Aisa,servant
42710,31776_4449715-00664,Male,Chinese,29.0,China,Waiter,Yes,Yes,,Aisa,servant
42718,31776_4449715-00664,Male,Chinese,44.0,China,Salesman,Yes,Yes,,Aisa,servant
42719,31776_4449715-00664,Male,Chinese,32.0,China,Salesman,Yes,Yes,,Aisa,servant
42720,31776_4449715-00664,Male,Chinese,21.0,China,Salesman,Yes,Yes,,Aisa,servant
42736,31776_4449715-00664,Male,Chinese,32.0,China,Salesman,Yes,Yes,,Aisa,servant
42737,31776_4449715-00664,Male,Chinese,30.0,China,Salesman,Yes,Yes,,Aisa,servant
42753,31776_4449715-00665,Male,Chinese,39.0,China,Barber,Yes,Yes,,Aisa,Proprietor
42811,31776_4449715-00668,Male,Japanese,43.0,Japan,Cook,Yes,Yes,,Aisa,workers
42812,31776_4449715-00668,Male,Japanese,28.0,Japan,Cook,Yes,Yes,,Aisa,workers
42813,31776_4449715-00668,Male,Japanese,41.0,Japan,Cook,Yes,Yes,,Aisa,workers
42814,31776_4449715-00668,Male,Japanese,30.0,Japan,Cook,Yes,Yes,,Aisa,workers
42815,31776_4449715-00668,Male,Japanese,31.0,Japan,Cook,Yes,Yes,,Aisa,workers
42816,31776_4449715-00668,Male,Japanese,34.0,Japan,Cook,Yes,Yes,,Aisa,workers
42817,31776_4449715-00668,Male,Japanese,35.0,Japan,Cook,Yes,Yes,,Aisa,workers
42818,31776_4449715-00668,Male,Japanese,42.0,Japan,Cook,Yes,Yes,,Aisa,workers
42819,31776_4449715-00668,Male,Japanese,30.0,Japan,Cook,Yes,Yes,,Aisa,workers
42905,31776_4449715-00668,Male,Chinese,32.0,China,Bookkeeper,Yes,Yes,,Aisa,paperworker
42906,31776_4449715-00668,Male,Chinese,50.0,China,Cook,Yes,Yes,,Aisa,workers
42907,31776_4449715-00668,Male,Chinese,31.0,China,Cook,Yes,Yes,,Aisa,workers
42909,31776_4449715-00668,Male,Chinese,43.0,China,Bookkeeper,Yes,Yes,,Aisa,paperworker
42910,31776_4449715-00668,Male,Chinese,25.0,China,Bookkeeper,Yes,Yes,,Aisa,paperworker
42911,31776_4449715-00668,Male,Chinese,24.0,China,Salesman,Yes,Yes,,Aisa,servant
42912,31776_4449715-00668,Male,Chinese,28.0,China,Waiter,Yes,Yes,,Aisa,servant
42913,31776_4449715-00668,Male,Chinese,47.0,China,Salesman,Yes,Yes,,Aisa,servant
42914,31776_4449715-00668,Male,Chinese,33.0,China,Salesman,Yes,Yes,,Aisa,servant
42915,31776_4449715-00668,Male,Chinese,23.0,China,Salesman,Yes,Yes,,Aisa,servant
42916,31776_4449715-00668,Male,Chinese,43.0,China,Bookkeeper,Yes,Yes,,Aisa,paperworker
42920,31776_4449715-00668,Male,Chinese,46.0,China,Salesman,Yes,Yes,,Aisa,servant
42921,31776_4449715-00668,Male,Chinese,39.0,China,Salesman,Yes,Yes,,Aisa,servant
42922,31776_4449715-00668,Male,Chinese,28.0,China,Waiter,Yes,Yes,,Aisa,servant
42923,31776_4449715-00668,Male,Chinese,28.0,China,Waiter,Yes,Yes,,Aisa,servant
42924,31776_4449715-00668,Male,Chinese,42.0,China,Waiter,Yes,Yes,,Aisa,servant
42941,31776_4449715-00668,Male,Chinese,23.0,China,Waiter,Yes,Yes,,Aisa,servant
42946,31776_4449715-00690,Male,Chinese,29.0,China,Cook,Yes,Yes,,Aisa,workers
42947,31776_4449715-00690,Male,Chinese,36.0,China,Cook,Yes,Yes,,Aisa,workers
42951,31776_4449715-00690,Male,Chinese,46.0,China,Salesman,Yes,Yes,,Aisa,servant
42952,31776_4449715-00690,Male,Chinese,42.0,China,Salesman,Yes,Yes,,Aisa,servant
42953,31776_4449715-00690,Male,Chinese,48.0,China,Cook,Yes,Yes,,Aisa,workers
42954,31776_4449715-00690,Male,Chinese,45.0,China,Salesman,Yes,Yes,,Aisa,servant
42955,31776_4449715-00690,Male,Chinese,40.0,China,Salesman,Yes,Yes,,Aisa,servant
42960,31776_4449715-00691,Male,Chinese,28.0,China,Salesman,Yes,Yes,,Aisa,servant
42961,31776_4449715-00691,Male,Chinese,32.0,China,Salesman,Yes,Yes,,Aisa,servant
42962,31776_4449715-00690,Male,Chinese,42.0,China,Salesman,Yes,Yes,,Aisa,servant
42963,31776_4449715-00691,Male,Chinese,37.0,China,Salesman,Yes,Yes,,Aisa,servant
42964,31776_4449715-00690,Male,Chinese,32.0,China,Waiter,Yes,Yes,,Aisa,servant
42965,31776_4449715-00690,Male,Chinese,35.0,China,Waiter,Yes,Yes,,Aisa,servant
42973,31776_4449715-00690,Male,Chinese,34.0,China,Waiter,Yes,Yes,,Aisa,servant
42976,31776_4449715-00690,Male,Chinese,35.0,China,Waiter,Yes,Yes,,Aisa,servant
42977,31776_4449715-00690,Male,Chinese,44.0,China,Cook,Yes,Yes,,Aisa,workers
42978,31776_4449715-00690,Male,Chinese,28.0,China,Waiter,Yes,Yes,,Aisa,servant
42983,31776_4449715-00691,Male,Chinese,44.0,China,Salesman,Yes,Yes,,Aisa,servant
42987,31776_4449715-00691,Male,Chinese,39.0,China,Salesman,Yes,Yes,,Aisa,servant
42993,31776_4449715-00691,Male,Chinese,49.0,China,Salesman,Yes,Yes,,Aisa,servant
43003,31776_4449715-00691,Male,Chinese,51.0,China,Salesman,Yes,Yes,,Aisa,servant
43009,31776_4449715-00691,Male,Chinese,38.0,China,Salesman,Yes,Yes,,Aisa,servant
43010,31776_4449715-00691,Male,Chinese,41.0,China,Salesman,Yes,Yes,,Aisa,servant
43011,31776_4449715-00691,Male,Chinese,37.0,China,Salesman,Yes,Yes,,Aisa,servant
43012,31776_4449715-00691,Male,Chinese,36.0,China,Salesman,Yes,Yes,,Aisa,servant
43028,31776_4449715-00688,Male,Chinese,40.0,China,Laborer,Yes,Yes,,Aisa,workers
43036,31776_4449715-00689,Male,Chinese,34.0,China,Salesman,Yes,Yes,,Aisa,servant
43037,31776_4449715-00689,Male,Chinese,33.0,China,Salesman,Yes,Yes,,Aisa,servant
43038,31776_4449715-00689,Male,Chinese,40.0,China,Cook,Yes,Yes,,Aisa,workers
43041,31776_4449715-00689,Male,Chinese,28.0,China,Waiter,Yes,Yes,,Aisa,servant
43042,31776_4449715-00689,Male,Chinese,29.0,China,Waiter,Yes,Yes,,Aisa,servant
43044,31776_4449715-00688,Male,Chinese,36.0,China,Laborer,Yes,Yes,,Aisa,workers
43047,31776_4449715-00688,Male,Chinese,32.0,China,Salesman,Yes,Yes,,Aisa,servant
43048,31776_4449715-00688,Male,Chinese,39.0,China,Salesman,Yes,Yes,,Aisa,servant
43051,31776_4449715-00688,Male,Chinese,30.0,China,Clerk,Yes,Yes,,Aisa,paperworker
43053,31776_4449715-00688,Male,Chinese,35.0,China,Salesman,Yes,Yes,,Aisa,servant
43054,31776_4449715-00688,Male,Chinese,40.0,China,Salesman,Yes,Yes,,Aisa,servant
43055,31776_4449715-00688,Male,Chinese,34.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43059,31776_4449715-00688,Male,Chinese,30.0,China,Waiter,Yes,Yes,,Aisa,servant
43060,31776_4449715-00688,Male,Chinese,31.0,China,Waiter,Yes,Yes,,Aisa,servant
43061,31776_4449715-00688,Male,Chinese,37.0,China,Waiter,Yes,Yes,,Aisa,servant
43062,31776_4449715-00688,Male,Chinese,38.0,China,Waiter,Yes,Yes,,Aisa,servant
43063,31776_4449715-00688,Male,Chinese,34.0,China,Waiter,Yes,Yes,,Aisa,servant
43064,31776_4449715-00689,Male,Chinese,30.0,China,Cook,Yes,Yes,,Aisa,workers
43066,31776_4449715-00689,Male,Chinese,34.0,China,Cook,Yes,Yes,,Aisa,workers
43068,31776_4449715-00689,Male,Chinese,45.0,China,Laborer,Yes,Yes,,Aisa,workers
43069,31776_4449715-00689,Male,Chinese,39.0,China,Waiter,Yes,Yes,,Aisa,servant
43070,31776_4449715-00689,Male,Chinese,42.0,China,Waiter,Yes,Yes,,Aisa,servant
43071,31776_4449715-00689,Male,Chinese,40.0,China,Cook,Yes,Yes,,Aisa,workers
43072,31776_4449715-00689,Male,Chinese,42.0,China,Laborer,Yes,Yes,,Aisa,workers
43073,31776_4449715-00689,Male,Chinese,47.0,China,Porter,Yes,Yes,,Aisa,servant
43074,31776_4449715-00689,Male,Chinese,36.0,China,Cook,Yes,Yes,,Aisa,workers
43075,31776_4449715-00689,Male,Chinese,46.0,China,Laborer,Yes,Yes,,Aisa,workers
43076,31776_4449715-00689,Male,Chinese,40.0,China,Cook,Yes,Yes,,Aisa,workers
43077,31776_4449715-00689,Male,Chinese,32.0,China,Cook,Yes,Yes,,Aisa,workers
43078,31776_4449715-00689,Male,Chinese,31.0,China,Waiter,Yes,Yes,,Aisa,servant
43079,31776_4449715-00690,Male,Chinese,54.0,China,Cook,Yes,Yes,,Aisa,workers
43081,31776_4449715-00690,Male,Chinese,50.0,China,Cook,Yes,Yes,,Aisa,workers
43082,31776_4449715-00690,Male,Chinese,37.0,China,Waiter,Yes,Yes,,Aisa,servant
43083,31776_4449715-00690,Male,Chinese,34.0,China,Waiter,Yes,Yes,,Aisa,servant
43084,31776_4449715-00689,Male,Chinese,39.0,China,Waiter,Yes,Yes,,Aisa,servant
43089,31776_4449715-00689,Male,Chinese,30.0,China,Salesman,Yes,Yes,,Aisa,servant
43093,31776_4449715-00689,Male,Chinese,32.0,China,Barber,Yes,Yes,,Aisa,Proprietor
43095,31776_4449715-00689,Male,Chinese,30.0,China,Barber,Yes,Yes,,Aisa,Proprietor
43096,31776_4449715-00689,Male,Chinese,29.0,China,Barber,Yes,Yes,,Aisa,Proprietor
43103,31776_4449715-00689,Male,Chinese,48.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43106,31776_4449715-00688,Male,Chinese,38.0,China,Salesman,Yes,Yes,,Aisa,servant
43109,31776_4449715-00694,Male,Chinese,38.0,China,Waiter,Yes,Yes,,Aisa,servant
43110,31776_4449715-00694,Male,Chinese,40.0,China,Cook,Yes,Yes,,Aisa,workers
43111,31776_4449715-00694,Male,Chinese,41.0,China,Cook,Yes,Yes,,Aisa,workers
43115,31776_4449715-00694,Male,Chinese,32.0,China,Laborer,Yes,Yes,,Aisa,workers
43116,31776_4449715-00694,Male,Chinese,39.0,China,Waiter,Yes,Yes,,Aisa,servant
43117,31776_4449715-00694,Male,Chinese,30.0,China,Laborer,Yes,Yes,,Aisa,workers
43124,31776_4449715-00694,Male,Chinese,48.0,China,Salesman,Yes,Yes,,Aisa,servant
43126,31776_4449715-00694,Male,Chinese,46.0,China,Salesman,Yes,Yes,,Aisa,servant
43127,31776_4449715-00694,Male,Chinese,40.0,China,Waiter,Yes,Yes,,Aisa,servant
43129,31776_4449715-00693,Male,Chinese,49.0,China,Salesman,Yes,Yes,,Aisa,servant
43130,31776_4449715-00693,Male,Chinese,44.0,China,Salesman,Yes,Yes,,Aisa,servant
43131,31776_4449715-00693,Male,Chinese,36.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43132,31776_4449715-00693,Male,Chinese,38.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43133,31776_4449715-00693,Male,Chinese,35.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43136,31776_4449715-00694,Male,Chinese,42.0,China,Cook,Yes,Yes,,Aisa,workers
43143,31776_4449715-00693,Male,Chinese,43.0,China,Cook,Yes,Yes,,Aisa,workers
43146,31776_4449715-00694,Male,Chinese,49.0,China,Salesman,Yes,Yes,,Aisa,servant
43149,31776_4449715-00694,Male,Chinese,45.0,China,Cook,Yes,Yes,,Aisa,workers
43151,31776_4449715-00694,Male,Chinese,41.0,China,Waiter,Yes,Yes,,Aisa,servant
43152,31776_4449715-00694,Male,Chinese,40.0,China,Waiter,Yes,Yes,,Aisa,servant
43153,31776_4449715-00694,Male,Chinese,39.0,China,Waiter,Yes,Yes,,Aisa,servant
43154,31776_4449715-00694,Male,Chinese,42.0,China,Waiter,Yes,Yes,,Aisa,servant
43155,31776_4449715-00695,Male,Chinese,41.0,China,Cook,Yes,Yes,,Aisa,workers
43156,31776_4449715-00694,Male,Chinese,48.0,China,Cook,Yes,Yes,,Aisa,workers
43157,31776_4449715-00695,Male,Chinese,43.0,China,Cook,Yes,Yes,,Aisa,workers
43161,31776_4449715-00695,Male,Chinese,48.0,China,Salesman,Yes,Yes,,Aisa,servant
43162,31776_4449715-00695,Male,Chinese,30.0,China,Salesman,Yes,Yes,,Aisa,servant
43163,31776_4449715-00695,Male,Chinese,34.0,China,Salesman,Yes,Yes,,Aisa,servant
43164,31776_4449715-00695,Male,Chinese,28.0,China,Salesman,Yes,Yes,,Aisa,servant
43166,31776_4449715-00694,Male,Chinese,45.0,China,Cook,Yes,Yes,,Aisa,workers
43167,31776_4449715-00694,Male,Chinese,36.0,China,Cook,Yes,Yes,,Aisa,workers
43168,31776_4449715-00694,Male,Chinese,52.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43172,31776_4449715-00694,Male,Chinese,36.0,China,Salesman,Yes,Yes,,Aisa,servant
43173,31776_4449715-00694,Male,Chinese,31.0,China,Salesman,Yes,Yes,,Aisa,servant
43175,31776_4449715-00694,Male,Chinese,39.0,China,Salesman,Yes,Yes,,Aisa,servant
43176,31776_4449715-00694,Male,Chinese,38.0,China,Salesman,Yes,Yes,,Aisa,servant
43177,31776_4449715-00694,Male,Chinese,35.0,China,Salesman,Yes,Yes,,Aisa,servant
43178,31776_4449715-00694,Male,Chinese,40.0,China,Porter,Yes,Yes,,Aisa,servant
43179,31776_4449715-00694,Male,Chinese,37.0,China,Cook,Yes,Yes,,Aisa,workers
43180,31776_4449715-00694,Male,Chinese,36.0,China,Waiter,Yes,Yes,,Aisa,servant
43181,31776_4449715-00694,Male,Chinese,38.0,China,Salesman,Yes,Yes,,Aisa,servant
43182,31776_4449715-00694,Male,Chinese,39.0,China,Salesman,Yes,Yes,,Aisa,servant
43183,31776_4449715-00694,Male,Chinese,40.0,China,Salesman,Yes,Yes,,Aisa,servant
43184,31776_4449715-00694,Male,Chinese,42.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43185,31776_4449715-00694,Male,Chinese,50.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43186,31776_4449715-00693,Male,Chinese,48.0,China,Salesman,Yes,Yes,,Aisa,servant
43187,31776_4449715-00693,Male,Chinese,45.0,China,Salesman,Yes,Yes,,Aisa,servant
43188,31776_4449715-00693,Male,Chinese,46.0,China,Salesman,Yes,Yes,,Aisa,servant
43190,31776_4449715-00692,Male,Chinese,45.0,China,Salesman,Yes,Yes,,Aisa,servant
43191,31776_4449715-00692,Male,Chinese,30.0,China,Salesman,Yes,Yes,,Aisa,servant
43196,31776_4449715-00692,Male,Chinese,20.0,China,Salesman,Yes,Yes,,Aisa,servant
43197,31776_4449715-00692,Male,Chinese,30.0,China,Salesman,Yes,Yes,,Aisa,servant
43202,31776_4449715-00692,Male,Chinese,39.0,China,Salesman,Yes,Yes,,Aisa,servant
43203,31776_4449715-00692,Male,Chinese,41.0,China,Salesman,Yes,Yes,,Aisa,servant
43204,31776_4449715-00692,Male,Chinese,32.0,China,Salesman,Yes,Yes,,Aisa,servant
43221,31776_4449715-00692,Male,Chinese,35.0,China,Cook,Yes,Yes,,Aisa,workers
43227,31776_4449715-00692,Male,Chinese,44.0,China,Cook,Yes,Yes,,Aisa,workers
43229,31776_4449715-00692,Male,Chinese,38.0,China,Cook,Yes,Yes,,Aisa,workers
43230,31776_4449715-00692,Male,Chinese,34.0,China,Waiter,Yes,Yes,,Aisa,servant
43231,31776_4449715-00693,Male,Chinese,44.0,China,Cook,Yes,Yes,,Aisa,workers
43232,31776_4449715-00693,Male,Chinese,36.0,China,Cook,Yes,Yes,,Aisa,workers
43233,31776_4449715-00693,Male,Chinese,45.0,China,Cook,Yes,Yes,,Aisa,workers
43234,31776_4449715-00693,Male,Chinese,38.0,China,Waiter,Yes,Yes,,Aisa,servant
43235,31776_4449715-00693,Male,Chinese,39.0,China,Waiter,Yes,Yes,,Aisa,servant
43236,31776_4449715-00693,Male,Chinese,43.0,China,Waiter,Yes,Yes,,Aisa,servant
43237,31776_4449715-00693,Male,Chinese,40.0,China,Waiter,Yes,Yes,,Aisa,servant
43239,31776_4449715-00693,Male,Chinese,32.0,China,Waiter,Yes,Yes,,Aisa,servant
43240,31776_4449715-00693,Male,Chinese,38.0,China,Laborer,Yes,Yes,,Aisa,workers
43241,31776_4449715-00693,Male,Chinese,39.0,China,Waiter,Yes,Yes,,Aisa,servant
43242,31776_4449715-00693,Male,Chinese,40.0,China,Waiter,Yes,Yes,,Aisa,servant
43243,31776_4449715-00693,Male,Chinese,43.0,China,Waiter,Yes,Yes,,Aisa,servant
43247,31776_4449715-00693,Male,Chinese,36.0,China,Laborer,Yes,Yes,,Aisa,workers
43250,31776_4449715-00693,Male,Chinese,47.0,China,Barber,Yes,Yes,,Aisa,Proprietor
43251,31776_4449715-00692,Male,Chinese,39.0,China,Laborer,Yes,Yes,,Aisa,workers
43252,31776_4449715-00692,Male,Chinese,40.0,China,Laborer,Yes,Yes,,Aisa,workers
43253,31776_4449715-00692,Male,Chinese,41.0,China,Laborer,Yes,Yes,,Aisa,workers
43254,31776_4449715-00692,Male,Chinese,45.0,China,Laborer,Yes,Yes,,Aisa,workers
43255,31776_4449715-00692,Male,Chinese,48.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43257,31776_4449715-00692,Male,Chinese,43.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43258,31776_4449715-00692,Male,Chinese,40.0,China,Proprietor,Yes,Yes,,Aisa,Proprietor
43267,31776_4449715-00693,Male,Chinese,44.0,China,Barber,Yes,Yes,,Aisa,Proprietor
43268,31776_4449715-00692,Male,Chinese,46.0,China,Waiter,Yes,Yes,,Aisa,servant
43269,31776_4449715-00688,Male,Chinese,21.0,China,Salesman,Yes,Yes,,Aisa,servant
43270,31776_4449715-00688,Male,Chinese,21.0,China,Salesman,Yes,Yes,,Aisa,servant
43274,31776_4449715-00683,Male,Chinese,18.0,China,Salesman,Yes,Yes,Yes,Aisa,servant
43281,31776_4449715-00684,Male,Chinese,33.0,China,Salesman,Yes,Yes,,Aisa,servant
43283,31776_4449715-00684,Male,Chinese,43.0,China,Salesman,Yes,Yes,,Aisa,servant
