,DataID,Gender,Race,Age,Father's Birthplace,Occupation,Can Read,Can Write,Attended School,continent,industry
1202447,4449605_00285,Female,White,37.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker
1202450,4449605_00285,Male,White,26.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
1202693,4449605_00291,Female,White,34.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker
1202712,4449605_00291,Male,White,19.0,Canada,Salesman,Yes,Yes,No,NorthAmerica,servant
1203098,4449605_00329,Male,White,43.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
1203712,4449605_00338,Male,Japanese,35.0,Japan,Waiter,Yes,Yes,,Aisa,servant
1203713,4449605_00338,Male,Japanese,30.0,Japan,Waiter,Yes,Yes,,Aisa,servant
1203714,4449605_00338,Male,Japanese,31.0,Japan,Cook,Yes,Yes,,Aisa,workers
1203730,4449605_00338,Male,Japanese,25.0,Japan,Cook,Yes,Yes,,Aisa,workers
1203732,4449605_00338,Male,Japanese,28.0,Japan,Cook,Yes,Yes,,Aisa,workers
1203753,4449605_00338,Male,Japanese,25.0,Japan,Waiter,Yes,Yes,,Aisa,servant
1204035,4449605_00314,Male,White,20.0,West Indies,Clerk,Yes,Yes,No,SouthAmerica,paperworker
1204046,4449605_00314,Female,White,20.0,West Indies,Dressmaker,Yes,Yes,No,SouthAmerica,Proprietor
1205245,4449605_01169,Male,White,21.0,West Indies,Clerk,Yes,Yes,,SouthAmerica,paperworker
1205620,4449605_01163,Male,White,31.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1205865,4449605_01163,Male,White,20.0,West Indies,Waiter,Yes,Yes,No,SouthAmerica,servant
1205866,4449605_01163,Male,White,24.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1205869,4449605_01163,Male,White,26.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1207499,4449605_00968,Male,Chinese,39.0,China,Laborer,Yes,Yes,,Aisa,workers
1208176,4449605_00951,Male,White,35.0,Canada,Carpenter,Yes,Yes,,NorthAmerica,Proprietor
1208280,4449605_00953,Male,White,21.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant
1208425,4449605_00949,Male,White,50.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant
1208468,4449605_00959,Male,Black,29.0,West Indies,Barber,Yes,Yes,,SouthAmerica,Proprietor
1208574,4449605_00961,Male,White,70.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers
1208792,4449605_00956,Male,Black,32.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1208804,4449605_00957,Male,Black,25.0,South America,Clerk,Yes,Yes,Yes,South America,paperworker
1209098,4449605_01185,Male,White,24.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant
1210705,4449605_01020,Male,Black,60.0,West Indies,Carpenter,Yes,Yes,,SouthAmerica,Proprietor
1210707,4449605_01020,Female,Black,18.0,West Indies,Servant,Yes,Yes,No,SouthAmerica,servant
1210841,4449605_01022,Male,White,24.0,Canada,Porter,Yes,Yes,,NorthAmerica,servant
1210913,4449605_01021,Female,Black,38.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1210942,4449605_01021,Male,White,34.0,Canada,Machinist,Yes,Yes,,NorthAmerica,engineer
1210944,4449605_01021,Male,White,96.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant
1210976,4449605_01022,Male,White,31.0,Canada,Painter,Yes,Yes,,NorthAmerica,artist
1210977,4449605_01022,Male,White,30.0,Canada,Painter,Yes,Yes,,NorthAmerica,artist
1210980,4449605_01022,Male,White,31.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant
1211375,4449605_01034,Male,White,23.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant
1211471,4449605_01032,Male,White,30.0,West Indies,Clerk,Yes,Yes,,SouthAmerica,paperworker
1211546,4449605_01038,Male,White,49.0,Canada,Bartender,Yes,Yes,,NorthAmerica,servant
1211746,4449605_00996,Male,White,27.0,Canada,Porter,Yes,Yes,,NorthAmerica,servant
1211847,4449605_00995,Male,White,23.0,Asia,Laborer,Yes,Yes,,Aisa,workers
1212107,4449605_00989,Female,White,36.0,Canada,Servant,Yes,Yes,,NorthAmerica,servant
1212335,4449605_00993,Male,White,32.0,Canada,Carpenter,Yes,Yes,,NorthAmerica,Proprietor
1212513,4449605_01012,Female,Black,25.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1213065,4449605_01008,Female,Black,34.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1213203,4449605_01089,Female,White,25.0,Canada,Saleslady,Yes,Yes,,NorthAmerica,servant
1213451,4449605_01091,Male,White,30.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers
1213464,4449605_01091,Male,White,35.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1213513,4449605_01091,Male,Black,29.0,Jamaica,Carpenter,Yes,Yes,,SouthAmerica,Proprietor
1213753,4449605_01085,Male,Mulatto,29.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1213993,4449605_01104,Female,Black,24.0,West Indies,Housework,Yes,Yes,,SouthAmerica,servant
1214107,4449605_01109,Male,Black,61.0,Cuba,Cigar Maker,Yes,Yes,,SouthAmerica,Proprietor
1214114,4449605_01109,Male,Black,19.0,West Indies,Porter,Yes,Yes,No,SouthAmerica,servant
1214171,4449605_01108,Male,Black,34.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1214172,4449605_01108,Female,Black,40.0,West Indies,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor
1214175,4449605_01108,Male,Mulatto,29.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1214194,4449605_01107,Male,Black,30.0,West Indies,Laborer,Yes,Yes,,SouthAmerica,workers
1214238,4449605_01108,Male,Black,29.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers
1214241,4449605_01108,Male,Black,25.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers
1214289,4449605_01098,Male,Mulatto,34.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1214292,4449605_01098,Male,Mulatto,23.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1214400,4449605_01098,Male,Black,40.0,Cuba,Cook,Yes,Yes,,SouthAmerica,workers
1214401,4449605_01098,Male,Black,16.0,Cuba,Cook,Yes,Yes,No,SouthAmerica,workers
1214532,4449605_01100,Female,Mulatto,25.0,West Indies,Housework,Yes,Yes,,SouthAmerica,servant
1214534,4449605_01100,Male,Black,45.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers
1214535,4449605_01100,Female,Black,40.0,Canada,Housework,Yes,Yes,,NorthAmerica,servant
1214551,4449605_01100,Male,Black,50.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1214564,4449605_01100,Male,Mulatto,28.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1214743,4449605_01057,Male,White,31.0,Canada,Machinist,Yes,Yes,No,NorthAmerica,engineer
1214828,4449605_01062,Male,Black,50.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1214830,4449605_01062,Male,Black,28.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1214831,4449605_01062,Male,Black,22.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers
1215083,4449605_01047,Male,White,16.0,Canada,Helper,Yes,Yes,No,NorthAmerica,Helper
1215091,4449605_01047,Female,White,18.0,Canada,Clerk,Yes,Yes,No,NorthAmerica,paperworker
1215767,4449605_01067,Male,Black,42.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1215885,4449605_01067,Male,Black,31.0,West Indies,Clerk,Yes,Yes,,SouthAmerica,paperworker
1215933,4449605_01071,Male,Black,27.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1215942,4449605_01071,Female,Black,38.0,West Indies,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor
1215943,4449605_01071,Male,Black,29.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1216094,4449605_00612,Male,Black,37.0,Venezuela,Porter,Yes,Yes,,SouthAmerica,servant
1216104,4449605_00612,Male,White,21.0,Venezuela,Barber,Yes,Yes,,SouthAmerica,Proprietor
1216109,4449605_00612,Male,Black,,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1216157,4449605_00612,Male,Black,22.0,Venezuela,Porter,Yes,Yes,,SouthAmerica,servant
1216171,4449605_00613,Male,Black,23.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1217060,4449605_00804,Female,White,34.0,Barbados,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor
1217061,4449605_00804,Female,White,54.0,Barbados,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor
1217079,4449605_00804,Male,White,23.0,Barbados,Operator,Yes,Yes,,SouthAmerica,workers
1217082,4449605_00804,Female,White,16.0,Barbados,Dressmaker,Yes,Yes,No,SouthAmerica,Proprietor
1217088,4449605_00804,Female,White,23.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
1217100,4449605_00804,Male,White,21.0,Barbados,Operator,Yes,Yes,,SouthAmerica,workers
1217102,4449605_00804,Male,White,45.0,Barbados,Operator,Yes,Yes,,SouthAmerica,workers
1217955,4449605_00732,Male,Black,26.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1217974,4449605_00732,Male,Black,21.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1218953,4449605_00597,Male,Black,20.0,West Indies,Operator,Yes,Yes,No,SouthAmerica,workers
1218954,4449605_00597,Male,Black,30.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1218956,4449605_00597,Male,Black,32.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1218960,4449605_00597,Female,Black,39.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1218964,4449605_00597,Male,Black,34.0,West Indies,Porter,,,,SouthAmerica,servant
1218981,4449605_00597,Male,Black,39.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1218992,4449605_00597,Female,Black,20.0,West Indies,Presser,Yes,Yes,No,SouthAmerica,workers
